po_id,order_date,expected_date,received_date,supplier_id,store_id,product_id,ordered_quantity,received_quantity,status,unit_cost
PO-2024-0090,2024-06-09,2024-07-04,2024-07-04,SUP-011,STR-003,PRD-079,100,100,RECEIVED,75.0
PO-2024-0091,2024-06-09,2024-06-14,2024-06-14,SUP-005,STR-004,PRD-011,34,34,RECEIVED,140.0
PO-2024-0092,2024-06-09,2024-06-15,2024-06-15,SUP-003,STR-004,PRD-041,45,45,RECEIVED,140.0
PO-2024-0093,2024-06-09,2024-06-14,2024-06-14,SUP-005,STR-004,PRD-056,62,62,RECEIVED,110.0
PO-2024-0094,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-001,PRD-007,41,41,RECEIVED,160.0
PO-2024-0095,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-001,PRD-014,40,40,RECEIVED,210.0
PO-2024-0096,2024-06-10,2024-06-13,2024-06-13,SUP-002,STR-001,PRD-020,50,50,RECEIVED,180.0
PO-2024-0097,2024-06-10,2024-06-15,2024-06-15,SUP-005,STR-001,PRD-044,50,50,RECEIVED,195.0
PO-2024-0098,2024-06-10,2024-07-05,2024-07-05,SUP-011,STR-001,PRD-075,100,100,RECEIVED,190.0
PO-2024-0099,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-002,PRD-001,66,66,RECEIVED,110.0
PO-2024-0100,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-002,PRD-004,104,104,RECEIVED,70.0
PO-2024-0101,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-002,PRD-010,40,40,RECEIVED,380.0
PO-2024-0102,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-002,PRD-012,40,40,RECEIVED,120.0
PO-2024-0103,2024-06-10,2024-06-14,2024-06-14,SUP-006,STR-002,PRD-069,41,41,RECEIVED,130.0
PO-2024-0104,2024-06-10,2024-07-05,2024-07-05,SUP-011,STR-002,PRD-079,100,100,RECEIVED,75.0
PO-2024-0105,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-003,PRD-004,106,106,RECEIVED,70.0
PO-2024-0106,2024-06-10,2024-06-15,2024-06-15,SUP-005,STR-003,PRD-048,40,40,RECEIVED,220.0
PO-2024-0107,2024-06-10,2024-06-15,2024-06-15,SUP-005,STR-003,PRD-051,50,50,RECEIVED,135.0
PO-2024-0108,2024-06-10,2024-06-14,2024-06-14,SUP-006,STR-003,PRD-066,35,35,RECEIVED,65.0
PO-2024-0109,2024-06-10,2024-06-14,2024-06-14,SUP-001,STR-004,PRD-014,40,40,RECEIVED,210.0
PO-2024-0110,2024-06-10,2024-06-13,2024-06-13,SUP-002,STR-004,PRD-015,54,54,RECEIVED,90.0
PO-2024-0111,2024-06-10,2024-06-22,2024-06-22,SUP-009,STR-004,PRD-090,30,30,RECEIVED,260.0
PO-2024-0112,2024-06-11,2024-06-15,2024-06-20,SUP-001,STR-001,PRD-001,69,69,RECEIVED,110.0
PO-2024-0113,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-001,PRD-021,50,50,RECEIVED,210.0
PO-2024-0114,2024-06-11,2024-06-16,2024-06-20,SUP-007,STR-001,PRD-047,83,83,RECEIVED,80.0
PO-2024-0115,2024-06-11,2024-06-16,2024-06-16,SUP-005,STR-002,PRD-009,31,31,RECEIVED,220.0
PO-2024-0116,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-002,PRD-016,86,86,RECEIVED,85.0
PO-2024-0117,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-002,PRD-020,50,50,RECEIVED,180.0
PO-2024-0118,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-002,PRD-021,50,50,RECEIVED,210.0
PO-2024-0119,2024-06-11,2024-06-14,2024-06-20,SUP-002,STR-002,PRD-027,50,50,RECEIVED,85.0
PO-2024-0120,2024-06-11,2024-06-16,2024-06-16,SUP-004,STR-002,PRD-042,45,45,RECEIVED,135.0
PO-2024-0121,2024-06-11,2024-06-16,2024-06-16,SUP-005,STR-002,PRD-048,42,42,RECEIVED,220.0
PO-2024-0122,2024-06-11,2024-06-16,2024-06-16,SUP-007,STR-002,PRD-050,51,51,RECEIVED,65.0
PO-2024-0123,2024-06-11,2024-06-16,2024-06-16,SUP-005,STR-002,PRD-051,52,52,RECEIVED,135.0
PO-2024-0124,2024-06-11,2024-07-06,2024-07-06,SUP-011,STR-002,PRD-081,100,100,RECEIVED,380.0
PO-2024-0125,2024-06-11,2024-06-23,2024-06-29,SUP-009,STR-002,PRD-094,26,26,RECEIVED,180.0
PO-2024-0126,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-003,PRD-016,81,81,RECEIVED,85.0
PO-2024-0127,2024-06-11,2024-07-06,2024-07-06,SUP-011,STR-003,PRD-070,100,100,RECEIVED,140.0
PO-2024-0128,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-004,PRD-016,81,81,RECEIVED,85.0
PO-2024-0129,2024-06-11,2024-06-14,2024-06-14,SUP-002,STR-004,PRD-021,50,50,RECEIVED,210.0
PO-2024-0130,2024-06-11,2024-06-15,2024-06-15,SUP-008,STR-004,PRD-032,61,61,RECEIVED,220.0
PO-2024-0131,2024-06-11,2024-06-16,2024-06-16,SUP-005,STR-004,PRD-055,25,25,RECEIVED,410.0
PO-2024-0132,2024-06-11,2024-06-15,2024-06-15,SUP-006,STR-004,PRD-067,41,41,RECEIVED,120.0
PO-2024-0133,2024-06-12,2024-06-16,2024-06-16,SUP-001,STR-001,PRD-004,105,105,RECEIVED,70.0
PO-2024-0134,2024-06-12,2024-06-16,2024-06-16,SUP-001,STR-001,PRD-010,40,40,RECEIVED,380.0
PO-2024-0135,2024-06-12,2024-06-16,2024-06-16,SUP-008,STR-001,PRD-022,82,82,RECEIVED,45.0
PO-2024-0136,2024-06-12,2024-06-17,2024-06-17,SUP-005,STR-001,PRD-048,40,40,RECEIVED,220.0
PO-2024-0137,2024-06-12,2024-06-16,2024-06-16,SUP-006,STR-001,PRD-069,40,40,RECEIVED,130.0
PO-2024-0138,2024-06-12,2024-07-07,2024-07-07,SUP-011,STR-001,PRD-076,100,100,RECEIVED,120.0
PO-2024-0139,2024-06-12,2024-07-07,2024-07-07,SUP-011,STR-001,PRD-079,100,100,RECEIVED,75.0
PO-2024-0140,2024-06-12,2024-06-17,2024-06-17,SUP-010,STR-001,PRD-101,50,50,RECEIVED,450.0
PO-2024-0141,2024-06-12,2024-06-17,2024-06-17,SUP-005,STR-002,PRD-055,25,25,RECEIVED,410.0
PO-2024-0142,2024-06-12,2024-06-17,2024-06-17,SUP-007,STR-003,PRD-050,50,50,RECEIVED,65.0
PO-2024-0143,2024-06-12,2024-06-16,2024-06-16,SUP-006,STR-003,PRD-057,71,71,RECEIVED,130.0
PO-2024-0144,2024-06-12,2024-06-16,2024-06-16,SUP-008,STR-004,PRD-022,84,84,RECEIVED,45.0
PO-2024-0145,2024-06-12,2024-06-16,2024-06-16,SUP-006,STR-004,PRD-063,40,40,RECEIVED,140.0
PO-2024-0146,2024-06-13,2024-06-17,2024-06-17,SUP-001,STR-001,PRD-008,60,60,RECEIVED,28.0
PO-2024-0147,2024-06-13,2024-06-18,2024-06-18,SUP-005,STR-001,PRD-009,32,32,RECEIVED,220.0
PO-2024-0148,2024-06-13,2024-06-19,2024-06-19,SUP-003,STR-001,PRD-034,42,42,RECEIVED,95.0
PO-2024-0149,2024-06-13,2024-06-18,2024-06-18,SUP-005,STR-001,PRD-046,70,70,RECEIVED,95.0
PO-2024-0150,2024-06-13,2024-06-16,2024-06-16,SUP-002,STR-002,PRD-019,64,64,RECEIVED,65.0
PO-2024-0151,2024-06-13,2024-06-18,2024-06-23,SUP-005,STR-002,PRD-046,71,71,RECEIVED,95.0
PO-2024-0152,2024-06-13,2024-06-18,2024-06-18,SUP-005,STR-002,PRD-053,33,33,RECEIVED,260.0
PO-2024-0153,2024-06-13,2024-07-08,2024-07-08,SUP-011,STR-002,PRD-074,100,100,RECEIVED,160.0
PO-2024-0154,2024-06-13,2024-07-08,2024-07-08,SUP-011,STR-003,PRD-075,100,100,RECEIVED,190.0
PO-2024-0155,2024-06-13,2024-07-08,2024-07-08,SUP-011,STR-003,PRD-081,100,100,RECEIVED,380.0
PO-2024-0156,2024-06-13,2024-06-25,2024-06-29,SUP-009,STR-003,PRD-090,30,30,RECEIVED,260.0
PO-2024-0157,2024-06-13,2024-06-17,2024-06-17,SUP-001,STR-004,PRD-001,61,61,RECEIVED,110.0
PO-2024-0158,2024-06-13,2024-06-16,2024-06-16,SUP-002,STR-004,PRD-019,60,60,RECEIVED,65.0
PO-2024-0159,2024-06-13,2024-06-17,2024-06-17,SUP-008,STR-004,PRD-023,62,62,RECEIVED,50.0
PO-2024-0160,2024-06-13,2024-06-19,2024-06-19,SUP-003,STR-004,PRD-034,42,42,RECEIVED,95.0
PO-2024-0161,2024-06-13,2024-06-19,2024-06-19,SUP-003,STR-004,PRD-035,53,53,RECEIVED,285.0
PO-2024-0162,2024-06-13,2024-06-17,2024-06-17,SUP-006,STR-004,PRD-066,35,35,RECEIVED,65.0
PO-2024-0163,2024-06-13,2024-06-25,2024-06-25,SUP-009,STR-004,PRD-086,24,24,RECEIVED,280.0
PO-2024-0164,2024-06-13,2024-06-25,2024-06-25,SUP-009,STR-004,PRD-094,26,26,RECEIVED,180.0
PO-2024-0165,2024-06-14,2024-06-20,2024-06-20,SUP-003,STR-001,PRD-041,44,44,RECEIVED,140.0
PO-2024-0166,2024-06-14,2024-06-19,2024-06-19,SUP-005,STR-001,PRD-055,25,25,RECEIVED,410.0
PO-2024-0167,2024-06-14,2024-07-09,2024-07-09,SUP-011,STR-001,PRD-081,100,100,RECEIVED,380.0
PO-2024-0168,2024-06-14,2024-06-17,2024-06-17,SUP-002,STR-002,PRD-015,52,52,RECEIVED,90.0
PO-2024-0169,2024-06-14,2024-06-20,2024-06-20,SUP-003,STR-002,PRD-029,47,47,RECEIVED,420.0
PO-2024-0170,2024-06-14,2024-06-20,2024-06-20,SUP-003,STR-002,PRD-039,30,30,RECEIVED,160.0
PO-2024-0171,2024-06-14,2024-06-18,2024-06-18,SUP-006,STR-002,PRD-064,50,50,RECEIVED,155.0
PO-2024-0172,2024-06-14,2024-06-18,2024-06-18,SUP-006,STR-002,PRD-066,35,35,RECEIVED,65.0
PO-2024-0173,2024-06-14,2024-06-19,2024-06-19,SUP-005,STR-003,PRD-009,32,32,RECEIVED,220.0
PO-2024-0174,2024-06-14,2024-06-18,2024-06-18,SUP-001,STR-003,PRD-012,40,40,RECEIVED,120.0
PO-2024-0175,2024-06-14,2024-06-17,2024-06-17,SUP-002,STR-003,PRD-015,56,56,RECEIVED,90.0
PO-2024-0176,2024-06-14,2024-06-17,2024-06-17,SUP-002,STR-003,PRD-026,50,50,RECEIVED,140.0
PO-2024-0177,2024-06-14,2024-06-17,2024-06-17,SUP-002,STR-003,PRD-027,50,50,RECEIVED,85.0
PO-2024-0178,2024-06-14,2024-06-20,2024-06-20,SUP-003,STR-003,PRD-029,45,45,RECEIVED,420.0
PO-2024-0179,2024-06-14,2024-06-20,2024-06-20,SUP-003,STR-003,PRD-034,45,45,RECEIVED,95.0
PO-2024-0180,2024-06-14,2024-06-26,2024-07-02,SUP-009,STR-003,PRD-084,20,20,RECEIVED,750.0
PO-2024-0181,2024-06-14,2024-06-18,2024-06-18,SUP-001,STR-004,PRD-002,51,51,RECEIVED,130.0
PO-2024-0182,2024-06-14,2024-06-18,2024-06-18,SUP-001,STR-004,PRD-006,87,87,RECEIVED,15.0
PO-2024-0183,2024-06-14,2024-06-17,2024-06-17,SUP-002,STR-004,PRD-026,50,50,RECEIVED,140.0
PO-2024-0184,2024-06-14,2024-06-17,2024-06-17,SUP-002,STR-004,PRD-027,50,50,RECEIVED,85.0
PO-2024-0185,2024-06-14,2024-06-18,2024-06-18,SUP-006,STR-004,PRD-065,87,87,RECEIVED,45.0
PO-2024-0186,2024-06-14,2024-06-22,2024-06-22,SUP-012,STR-004,PRD-082,31,31,RECEIVED,290.0
PO-2024-0187,2024-06-14,2024-06-26,2024-06-26,SUP-009,STR-004,PRD-083,31,31,RECEIVED,320.0
PO-2024-0188,2024-06-14,2024-06-26,2024-06-26,SUP-009,STR-004,PRD-092,41,41,RECEIVED,280.0
PO-2024-0189,2024-06-15,2024-06-20,2024-06-20,SUP-005,STR-001,PRD-011,33,33,RECEIVED,140.0
PO-2024-0190,2024-06-15,2024-06-18,2024-06-18,SUP-002,STR-001,PRD-018,63,63,RECEIVED,55.0
PO-2024-0191,2024-06-15,2024-06-18,2024-06-18,SUP-002,STR-001,PRD-025,50,50,RECEIVED,60.0
PO-2024-0192,2024-06-15,2024-06-18,2024-06-18,SUP-002,STR-001,PRD-027,50,50,RECEIVED,85.0
PO-2024-0193,2024-06-15,2024-06-21,2024-06-21,SUP-003,STR-001,PRD-029,43,43,RECEIVED,420.0
PO-2024-0194,2024-06-15,2024-06-20,2024-06-23,SUP-004,STR-001,PRD-033,53,53,RECEIVED,80.0
PO-2024-0195,2024-06-15,2024-06-21,2024-06-21,SUP-003,STR-001,PRD-039,33,33,RECEIVED,160.0
PO-2024-0196,2024-06-15,2024-06-20,2024-06-25,SUP-005,STR-001,PRD-043,61,61,RECEIVED,120.0
PO-2024-0197,2024-06-15,2024-06-27,2024-06-27,SUP-009,STR-001,PRD-083,30,30,RECEIVED,320.0
PO-2024-0198,2024-06-15,2024-06-19,2024-06-19,SUP-001,STR-002,PRD-002,56,56,RECEIVED,130.0
PO-2024-0199,2024-06-15,2024-06-19,2024-06-19,SUP-001,STR-002,PRD-007,45,45,RECEIVED,160.0
PO-2024-0200,2024-06-15,2024-06-19,2024-06-19,SUP-001,STR-002,PRD-014,40,40,RECEIVED,210.0
PO-2024-0201,2024-06-15,2024-06-20,2024-06-20,SUP-004,STR-002,PRD-033,54,54,RECEIVED,80.0
PO-2024-0202,2024-06-15,2024-06-21,2024-06-25,SUP-003,STR-002,PRD-041,43,43,RECEIVED,140.0
PO-2024-0203,2024-06-15,2024-06-20,2024-06-20,SUP-005,STR-002,PRD-045,53,53,RECEIVED,180.0
PO-2024-0204,2024-06-15,2024-06-19,2024-06-19,SUP-001,STR-003,PRD-001,66,66,RECEIVED,110.0
PO-2024-0205,2024-06-15,2024-06-19,2024-06-19,SUP-001,STR-003,PRD-002,55,55,RECEIVED,130.0
PO-2024-0206,2024-06-15,2024-06-18,2024-06-18,SUP-002,STR-003,PRD-021,50,50,RECEIVED,210.0
PO-2024-0207,2024-06-15,2024-06-21,2024-06-21,SUP-003,STR-003,PRD-030,75,75,RECEIVED,130.0
PO-2024-0208,2024-06-15,2024-06-21,2024-06-21,SUP-003,STR-003,PRD-041,40,40,RECEIVED,140.0
PO-2024-0209,2024-06-15,2024-06-20,2024-06-20,SUP-005,STR-003,PRD-052,40,40,RECEIVED,110.0
PO-2024-0210,2024-06-15,2024-07-10,2024-07-10,SUP-011,STR-003,PRD-076,100,100,RECEIVED,120.0
PO-2024-0211,2024-06-15,2024-06-23,2024-06-23,SUP-012,STR-003,PRD-082,31,31,RECEIVED,290.0
PO-2024-0212,2024-06-15,2024-06-27,2024-06-27,SUP-009,STR-003,PRD-088,42,42,RECEIVED,140.0
PO-2024-0213,2024-06-15,2024-06-20,2024-06-20,SUP-005,STR-004,PRD-009,34,34,RECEIVED,220.0
PO-2024-0214,2024-06-15,2024-06-19,2024-06-19,SUP-001,STR-004,PRD-012,40,40,RECEIVED,120.0
PO-2024-0215,2024-06-15,2024-06-18,2024-06-22,SUP-002,STR-004,PRD-018,61,61,RECEIVED,55.0
PO-2024-0216,2024-06-15,2024-06-18,2024-06-18,SUP-002,STR-004,PRD-025,50,50,RECEIVED,60.0
PO-2024-0217,2024-06-15,2024-06-21,2024-06-21,SUP-003,STR-004,PRD-036,50,50,RECEIVED,125.0
PO-2024-0218,2024-06-15,2024-06-20,2024-06-20,SUP-005,STR-004,PRD-053,31,31,RECEIVED,260.0
PO-2024-0219,2024-06-15,2024-06-20,2024-06-20,SUP-005,STR-004,PRD-054,31,31,RECEIVED,280.0
PO-2024-0220,2024-06-15,2024-06-19,2024-06-22,SUP-006,STR-004,PRD-057,71,71,RECEIVED,130.0
PO-2024-0221,2024-06-15,2024-07-10,2024-07-10,SUP-011,STR-004,PRD-080,100,100,RECEIVED,520.0
PO-2024-0222,2024-06-15,2024-06-20,2024-06-20,SUP-010,STR-004,PRD-100,50,50,RECEIVED,95.0
PO-2024-0223,2024-06-16,2024-06-20,2024-06-20,SUP-001,STR-001,PRD-002,57,57,RECEIVED,130.0
PO-2024-0224,2024-06-16,2024-06-20,2024-06-20,SUP-001,STR-001,PRD-012,40,40,RECEIVED,120.0
